GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.model,Resource,158,196,24,14,42,62,26,32,10,29
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.model,AppointmentStatus,3,53,0,0,1,10,1,2,1,2
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.model,Priority,21,49,4,0,3,10,5,3,3,3
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.model,Appointment,6,326,6,27,0,97,6,55,0,43
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.model,AppointmentType,9,89,0,0,3,14,3,2,3,2
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.model,Schedule,23,437,8,32,5,102,9,50,1,38
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.model,ResourceType,6,54,0,0,2,10,2,2,2,2
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.model,ScheduleMetrics,48,368,16,24,21,61,29,29,13,25
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler,Application,886,0,24,0,211,0,21,0,9,0
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.algorithm,ConstraintSatisfactionAlgorithm,38,638,17,51,11,139,15,48,0,29
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.algorithm,GeneticAlgorithm,7,845,7,71,1,185,8,57,1,25
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.algorithm,SimulatedAnnealingAlgorithm,57,733,10,65,14,175,12,55,4,24
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.algorithm,GeneticAlgorithm.ScheduleChromosome,0,46,0,0,0,14,0,6,0,6
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.gui,AppointmentDialog,1024,0,24,0,182,0,23,0,11,0
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.gui,SchedulingGUI,2425,0,70,0,491,0,80,0,45,0
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.gui,SchedulingGUI.ScheduleResult,39,0,0,0,14,0,7,0,7,0
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.gui,ResourceDialog,974,0,28,0,168,0,25,0,11,0
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.util,MathUtils,55,590,30,94,13,120,30,71,1,38
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.service,AppointmentSchedulingService.ScheduleComparisonReport,45,0,0,0,16,0,13,0,13,0
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.service,AppointmentSchedulingService,316,205,25,7,74,44,23,12,10,9
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.service,AppointmentSchedulingService.AlgorithmComparisonResult,9,36,0,0,3,13,3,5,3,5
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.service,AppointmentSchedulingService.ScheduleValidationResult,33,0,2,0,8,0,6,0,5,0
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.exception,NoValidSolutionException,9,0,0,0,4,0,2,0,2,0
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.exception,SchedulingException,9,0,0,0,4,0,2,0,2,0
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.database,ResourceDAO,16,568,12,32,0,147,12,24,0,14
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.database,AppointmentDAO,14,653,20,30,0,159,20,18,0,13
Appointment Scheduling Optimizer,com.vikk.appointmentscheduler.database,DatabaseManager,25,96,3,3,6,35,2,8,0,7
